<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.02	00:00:00	0.90546	0.90564	0.90546	0.90552	4	0	197
2025.01.02	00:01:00	0.90552	0.90552	0.90552	0.90552	1	0	268
2025.01.02	00:02:00	0.90552	0.90552	0.90552	0.90552	1	0	268
2025.01.02	00:03:00	0.90552	0.90552	0.90552	0.90552	1	0	268
2025.01.02	00:04:00	0.90552	0.90552	0.90552	0.90552	1	0	268
2025.01.02	00:05:00	0.90552	0.90570	0.90551	0.90551	4	0	204
2025.01.02	00:06:00	0.90551	0.90551	0.90551	0.90551	1	0	204
2025.01.02	00:07:00	0.90551	0.90551	0.90551	0.90551	1	0	204
2025.01.02	00:08:00	0.90551	0.90551	0.90551	0.90551	1	0	182
2025.01.02	00:09:00	0.90551	0.90551	0.90551	0.90551	1	0	172
2025.01.02	00:10:00	0.90551	0.90551	0.90527	0.90527	2	0	172
2025.01.02	00:11:00	0.90527	0.90527	0.90527	0.90527	1	0	186
2025.01.02	00:12:00	0.90527	0.90527	0.90527	0.90527	1	0	186
2025.01.02	00:13:00	0.90527	0.90527	0.90527	0.90527	1	0	176
2025.01.02	00:14:00	0.90527	0.90527	0.90527	0.90527	1	0	178
2025.01.02	00:15:00	0.90527	0.90527	0.90527	0.90527	1	0	169
2025.01.02	00:16:00	0.90527	0.90527	0.90527	0.90527	1	0	177
2025.01.02	00:17:00	0.90527	0.90531	0.90527	0.90531	2	0	177
2025.01.02	00:18:00	0.90531	0.90531	0.90528	0.90531	9	0	192
2025.01.02	00:19:00	0.90531	0.90627	0.90531	0.90627	2	0	141
2025.01.02	00:20:00	0.90627	0.90627	0.90619	0.90619	2	0	128
2025.01.02	00:21:00	0.90619	0.90619	0.90619	0.90619	1	0	136
2025.01.02	00:22:00	0.90619	0.90647	0.90619	0.90619	11	0	103
2025.01.02	00:23:00	0.90619	0.90619	0.90619	0.90619	1	0	135
2025.01.02	00:24:00	0.90619	0.90619	0.90619	0.90619	1	0	131
2025.01.02	00:25:00	0.90619	0.90619	0.90619	0.90619	1	0	135
2025.01.02	00:26:00	0.90619	0.90619	0.90619	0.90619	1	0	125
2025.01.02	00:27:00	0.90619	0.90619	0.90619	0.90619	1	0	123
2025.01.02	00:28:00	0.90619	0.90619	0.90619	0.90619	1	0	118
2025.01.02	00:29:00	0.90619	0.90622	0.90588	0.90594	7	0	117
2025.01.02	00:30:00	0.90587	0.90590	0.90578	0.90580	9	0	138
2025.01.02	00:31:00	0.90580	0.90622	0.90580	0.90622	5	0	102
2025.01.02	00:32:00	0.90622	0.90622	0.90596	0.90596	2	0	94
2025.01.02	00:33:00	0.90596	0.90599	0.90596	0.90599	4	0	110
2025.01.02	00:34:00	0.90599	0.90606	0.90599	0.90604	6	0	109
2025.01.02	00:35:00	0.90604	0.90604	0.90589	0.90601	24	0	115
2025.01.02	00:36:00	0.90601	0.90612	0.90600	0.90612	16	0	102
2025.01.02	00:37:00	0.90610	0.90613	0.90608	0.90609	4	0	99
2025.01.02	00:38:00	0.90609	0.90610	0.90609	0.90610	2	0	97
2025.01.02	00:39:00	0.90610	0.90612	0.90606	0.90607	13	0	94
2025.01.02	00:40:00	0.90607	0.90610	0.90590	0.90593	28	0	94
2025.01.02	00:41:00	0.90593	0.90594	0.90591	0.90591	11	0	119
2025.01.02	00:42:00	0.90591	0.90592	0.90585	0.90586	18	0	123
2025.01.02	00:43:00	0.90586	0.90597	0.90579	0.90586	32	0	119
2025.01.02	00:44:00	0.90586	0.90606	0.90586	0.90596	43	0	109
2025.01.02	00:45:00	0.90596	0.90607	0.90594	0.90596	19	0	111
2025.01.02	00:46:00	0.90596	0.90596	0.90568	0.90577	24	0	115
