time,open,high,low,close,Volume
2004-08-10,206.03999,209.88,204.53,209.88,NaN
2004-08-11,211.42999,214.28999,206.42,208.58,NaN
2004-08-13,208.37,208.37,201.61,203.89999,NaN
2004-08-16,204.24001,208.14999,203.75999,208.14999,NaN
2004-08-17,209.14999,212.08,207.8,207.8,NaN
2004-08-18,208.02,212.42,207.32001,209.17999,NaN
2004-08-19,209.98,211.07001,207.75999,208.03,NaN
2004-08-20,207.87,209.52,206.7,208.41,NaN
2004-08-26,205.02,206.87,203.53999,206.77,NaN
2004-08-27,208.22,210.97,205.48,210.42,NaN
2004-08-30,210.98,213.7,209.53999,210.17999,NaN
2004-08-31,211.17,215.86,211.16,214.49001,NaN
2004-09-01,215.34,216.23,211.57001,212.46001,NaN
2004-09-02,212.83,214.12,208.53,208.72,NaN
2004-09-03,209.62,210.64999,204.91,206,NaN
2004-09-06,206.13,208.61,205.96001,207.95,NaN
2004-09-07,208.75,212.42999,208.75,211.42,NaN
2004-09-08,211.42,213.71001,210.32001,211.22,NaN
2004-09-09,211.63,214.07001,211.23,212.78999,NaN
2004-09-10,213.27,214.33,209.89999,211.53,NaN
2004-09-13,212.11,215.10001,212.11,213.92999,NaN
2004-09-14,213.92999,216.44,213.49001,215.44,NaN
2004-09-15,215.72,219.02,215.64,217.67,NaN
2004-09-16,218.92,220.14999,217.5,218.13,NaN
2004-09-17,218.75999,218.75999,216.09,217.39,NaN
2004-09-20,218.22,219.17999,214.63,214.63,NaN
2004-09-21,215.45,215.89,213,213.21001,NaN
2004-09-22,214.07001,215.37,212.78,213.86,NaN
2004-09-23,213.63,215.49001,208.69,212.94,NaN
2004-09-24,212.94,214.96001,211.42999,213.78999,NaN
2004-09-27,215.03999,216.71001,213.55,214.56,NaN
2004-09-28,214.53999,215.75,210.17,213.33,NaN
2004-09-29,213.88,214.58,211.64,213.27,NaN
2004-09-30,213.82001,215.47,211.77,213.48,NaN
2004-10-01,213.96001,215.77,213.57001,214.19,NaN
2004-10-04,215.64999,216.39999,213.50999,214.49001,NaN
2004-10-05,214.49001,214.73,210.39,210.86,NaN
2004-10-06,211.09,211.66,204.62,204.62,NaN
2004-10-07,202.87,205.42999,200.2,201.32001,NaN
2004-10-08,201.86,201.91,200.17999,201.63,NaN
2004-10-11,201.66,202.03,199.8,199.82001,NaN
2004-10-12,199.98,200.75,194.61,195.67999,NaN
2004-10-13,195.67999,198.57001,195.67999,198.57001,NaN
2004-10-14,195.47,198.64999,192.77,194.48,NaN
2004-10-15,193,195.34,191.75999,193.73,NaN
2004-10-18,194.00999,194.06,191.16,191.16,NaN
2004-10-19,191.87,192.16,191.22,191.67,NaN
2004-10-20,191.73,193.16,191.22,192.66,NaN
2004-10-21,192.66,193.31,190.48,191.08,NaN
2004-10-22,191.37,191.78999,190.66,190.92999,NaN
2004-10-26,190.96001,191.58,189.72,191.39999,NaN
2004-10-27,186.77,191.41,180.97,182.82001,NaN
2004-10-28,183.57001,183.75999,179.55,179.55,NaN
2004-10-29,179.08,181.49001,178.39999,180.99001,NaN
2004-11-01,181.63,181.89999,178.08,178.08,NaN
2004-11-02,178.37,182.49001,177.97,182.44,NaN
2004-11-03,182.44,184.95,181.2,183.75,NaN
2004-11-04,186.31,190.14,184.45,187.55,NaN
2004-11-05,189.48,190.08,184.71001,184.71001,NaN
2004-11-08,185.10001,186.61,184.24001,185.66,NaN
2004-11-09,185.94,188.92,185.23,188.89999,NaN
2004-11-10,188.89999,191.85001,186.17999,188.44,NaN
2004-11-11,186.56,189.64999,184.48,186.64999,NaN
2004-11-12,187.17,188.47,186.21001,188.47,NaN
2004-11-15,189.82001,191.81,187.89,188.81,NaN
2004-11-16,188.33,189.44,187.25,187.25,NaN
2004-11-17,186.59,187.92999,186.25999,187.17,NaN
2004-11-18,187.32001,188.28999,187.03,187.91,NaN
2004-11-19,187.99001,189.92999,187.02,189.92999,NaN
2004-11-22,188.39999,190.39,186.88,188.02,NaN
2004-11-23,190.07001,190.25999,188.02,189.17999,NaN
2004-11-24,190.11,190.39999,187.49001,188.85001,NaN
2004-11-25,189.75,189.8,187.25999,187.34,NaN
2004-11-26,186.62,188.78999,186.59,186.64,NaN
2004-11-29,186.72,188.94,186.72,187.63,NaN
2004-11-30,188.38,189.17,187.8,187.8,NaN
2004-12-01,188.92999,189.21001,187.89999,188.39,NaN
2004-12-02,188.39,189.37,187.98,188.48,NaN
2004-12-03,187.99001,189.24001,187.39,188.36,NaN
2004-12-07,186.69,188.59,185.52,186.42,NaN
2004-12-08,186.42,187.42999,185.00999,187.42999,NaN
2004-12-09,187.59,188.00999,186.92,187.67999,NaN
2004-12-13,188.88,189.03999,187.46001,187.52,NaN
2004-12-14,188.62,188.89999,186.2,187,NaN
2004-12-15,187.37,188.77,186.48,186.48,NaN
2004-12-16,187.89999,188.45,186.8,188.44,NaN
2004-12-17,189.13,189.47,186.8,187.74001,NaN
2004-12-20,188.14999,189.22,186.53,187.69,NaN
2004-12-21,187.89,188.61,187.47,187.91,NaN
2004-12-22,188.37,189.03999,187.53999,187.7,NaN
2004-12-23,188.19,188.8,187.33,188.5,NaN
2004-12-24,188.5,189.41,188.37,189.39999,NaN
2004-12-27,185.34,188.27,185.17,186.53,NaN
2004-12-28,187.49001,187.91,186.53,187.47,NaN
2004-12-29,185.97,187.67,185.95,187.22,NaN
2004-12-30,187.22,188.07001,186.72,188.07001,NaN
2005-01-04,187.92999,188.61,187.67999,187.75,NaN
2005-01-05,187.61,188.96001,186.67,186.67,NaN
2005-01-06,186.75,189.14999,186.64,188.99001,NaN
2005-01-07,188.99001,190.72,188.99001,190.49001,NaN
2005-01-10,191.85001,192.52,190.42999,191.88,NaN
2005-01-11,192.28999,192.77,191.09,191.28999,NaN
2005-01-12,192.14,192.34,191.39,191.61,NaN
2005-01-13,192.02,192.60001,190.96001,191.73,NaN
2005-01-14,191.91,192.62,191.19,192,NaN
2005-01-17,193.21001,194.05,192.21001,193.42999,NaN
2005-01-18,192.53,193.94,191.88,192.13,NaN
2005-01-19,194.07001,194.36,192.14999,193.67999,NaN
2005-01-20,196.78999,196.98,193.46001,196.95,NaN
2005-01-21,196.89,198.27,195.10001,195.59,NaN
