time,open,high,low,close,Volume
1982-08-10,108.62000275,108.62000275,108.62000275,108.62000275,NaN
1982-08-11,108.40000153,108.40000153,108.40000153,108.40000153,NaN
1982-08-13,108.20999908,108.20999908,108.20999908,108.20999908,NaN
1982-08-16,108.41999817,108.41999817,108.41999817,108.41999817,NaN
1982-08-17,108.91999817,108.91999817,108.91999817,108.91999817,NaN
1982-08-18,109.98999786,109.98999786,109.98999786,109.98999786,NaN
1982-08-19,111.80999756,111.80999756,111.80999756,111.80999756,NaN
1982-08-20,112.22000122,112.22000122,112.22000122,112.22000122,NaN
1982-08-23,114.01999664,114.01999664,114.01999664,114.01999664,NaN
1982-08-24,119.09999847,119.09999847,119.09999847,119.09999847,NaN
1982-08-25,119.80000305,119.80000305,119.80000305,119.80000305,NaN
1982-08-26,118.83000183,118.83000183,118.83000183,118.83000183,NaN
1982-08-27,120.36000061,120.36000061,120.36000061,120.36000061,NaN
1982-08-30,123.52999878,123.52999878,123.52999878,123.52999878,NaN
1982-08-31,124.08999634,124.08999634,124.08999634,124.08999634,NaN
1982-09-01,121.59999847,121.59999847,121.59999847,121.59999847,NaN
1982-09-02,122.91000366,122.91000366,122.91000366,122.91000366,NaN
1982-09-03,124.93000031,124.93000031,124.93000031,124.93000031,NaN
1982-09-06,127.80000305,127.80000305,127.80000305,127.80000305,NaN
1982-09-07,128.25999451,128.25999451,128.25999451,128.25999451,NaN
1982-09-08,131.5,131.5,131.5,131.5,NaN
1982-09-09,133.38000488,133.38000488,133.38000488,133.38000488,NaN
1982-09-10,136.75999451,136.75999451,136.75999451,136.75999451,NaN
1982-09-13,138.77000427,138.77000427,138.77000427,138.77000427,NaN
1982-09-14,131.88999939,131.88999939,131.88999939,131.88999939,NaN
1982-09-15,127.08999634,127.08999634,127.08999634,127.08999634,NaN
1982-09-16,129.88000488,129.88000488,129.88000488,129.88000488,NaN
1982-09-17,129.41000366,129.41000366,129.41000366,129.41000366,NaN
1982-09-20,124.47000122,124.47000122,124.47000122,124.47000122,NaN
1982-09-21,125.73000336,125.73000336,125.73000336,125.73000336,NaN
1982-09-22,126.91999817,126.91999817,126.91999817,126.91999817,NaN
1982-09-23,128.02999878,128.02999878,128.02999878,128.02999878,NaN
1982-09-24,129.5,129.5,129.5,129.5,NaN
1982-09-27,128.83999634,128.83999634,128.83999634,128.83999634,NaN
1982-09-28,128.02000427,128.02000427,128.02000427,128.02000427,NaN
1982-09-29,127.37999725,127.37999725,127.37999725,127.37999725,NaN
1982-09-30,126.23999786,126.23999786,126.23999786,126.23999786,NaN
1982-10-01,125.66999817,125.66999817,125.66999817,125.66999817,NaN
1982-10-04,123.83999634,123.83999634,123.83999634,123.83999634,NaN
1982-10-05,121.19999695,121.19999695,121.19999695,121.19999695,NaN
1982-10-06,123.98000336,123.98000336,123.98000336,123.98000336,NaN
1982-10-07,124.69999695,124.69999695,124.69999695,124.69999695,NaN
1982-10-08,125.61000061,125.61000061,125.61000061,125.61000061,NaN
1982-10-11,126.30000305,126.30000305,126.30000305,126.30000305,NaN
1982-10-12,125.13999939,125.13999939,125.13999939,125.13999939,NaN
1982-10-13,125.15000153,125.15000153,125.15000153,125.15000153,NaN
1982-10-14,126.27999878,126.27999878,126.27999878,126.27999878,NaN
1982-10-15,126,126,126,126,NaN
1982-10-18,125.26999664,125.26999664,125.26999664,125.26999664,NaN
1982-10-19,125.84999847,125.84999847,125.84999847,125.84999847,NaN
1982-10-20,125.05999756,125.05999756,125.05999756,125.05999756,NaN
1982-10-21,125.23999786,125.23999786,125.23999786,125.23999786,NaN
1982-10-22,126.65000153,126.65000153,126.65000153,126.65000153,NaN
1982-10-26,127.54000092,127.54000092,127.54000092,127.54000092,NaN
1982-10-27,127.83999634,127.83999634,127.83999634,127.83999634,NaN
1982-10-28,127.62999725,127.62999725,127.62999725,127.62999725,NaN
1982-10-29,127.48999786,127.48999786,127.48999786,127.48999786,NaN
1982-11-01,127.04000092,127.04000092,127.04000092,127.04000092,NaN
1982-11-02,126.69999695,126.69999695,126.69999695,126.69999695,NaN
1982-11-03,127.01999664,127.01999664,127.01999664,127.01999664,NaN
1982-11-04,126.80000305,126.80000305,126.80000305,126.80000305,NaN
1982-11-05,127.26999664,127.26999664,127.26999664,127.26999664,NaN
1982-11-08,127.05000305,127.05000305,127.05000305,127.05000305,NaN
1982-11-09,126.44999695,126.44999695,126.44999695,126.44999695,NaN
1982-11-10,125.80999756,125.80999756,125.80999756,125.80999756,NaN
1982-11-11,125.63999939,125.63999939,125.63999939,125.63999939,NaN
1982-11-12,124.88999939,124.88999939,124.88999939,124.88999939,NaN
1982-11-15,124.61000061,124.61000061,124.61000061,124.61000061,NaN
1982-11-16,125.68000031,125.68000031,125.68000031,125.68000031,NaN
1982-11-17,125.37999725,125.37999725,125.37999725,125.37999725,NaN
1982-11-18,124.01999664,124.01999664,124.01999664,124.01999664,NaN
1982-11-19,123.58999634,123.58999634,123.58999634,123.58999634,NaN
1982-11-22,122.47000122,122.47000122,122.47000122,122.47000122,NaN
1982-11-23,122.04000092,122.04000092,122.04000092,122.04000092,NaN
1982-11-24,122.38999939,122.38999939,122.38999939,122.38999939,NaN
1982-11-25,121.94000244,121.94000244,121.94000244,121.94000244,NaN
1982-11-26,121.55000305,121.55000305,121.55000305,121.55000305,NaN
1982-11-29,120.05000305,120.05000305,120.05000305,120.05000305,NaN
1982-11-30,120.83999634,120.83999634,120.83999634,120.83999634,NaN
1982-12-01,121.51000214,121.51000214,121.51000214,121.51000214,NaN
1982-12-02,121.20999908,121.20999908,121.20999908,121.20999908,NaN
1982-12-03,120.62000275,120.62000275,120.62000275,120.62000275,NaN
1982-12-07,120.83000183,120.83000183,120.83000183,120.83000183,NaN
1982-12-08,119.97000122,119.97000122,119.97000122,119.97000122,NaN
1982-12-09,119.51000214,119.51000214,119.51000214,119.51000214,NaN
1982-12-13,119.87999725,119.87999725,119.87999725,119.87999725,NaN
1982-12-14,121.37000275,121.37000275,121.37000275,121.37000275,NaN
1982-12-15,122.95999908,122.95999908,122.95999908,122.95999908,NaN
1982-12-16,123.66999817,123.66999817,123.66999817,123.66999817,NaN
1982-12-17,124.01999664,124.01999664,124.01999664,124.01999664,NaN
1982-12-20,123.25,123.25,123.25,123.25,NaN
1982-12-21,123.16000366,123.16000366,123.16000366,123.16000366,NaN
1982-12-22,123.26000214,123.26000214,123.26000214,123.26000214,NaN
1982-12-23,123.04000092,123.04000092,123.04000092,123.04000092,NaN
1982-12-24,123.48999786,123.48999786,123.48999786,123.48999786,NaN
1982-12-27,123.68000031,123.68000031,123.68000031,123.68000031,NaN
1982-12-28,123.5,123.5,123.5,123.5,NaN
1982-12-29,123.31999969,123.31999969,123.31999969,123.31999969,NaN
1982-12-30,123.5,123.5,123.5,123.5,NaN
1983-01-04,123.56999969,123.56999969,123.56999969,123.56999969,NaN
1983-01-05,123.48000336,123.48000336,123.48000336,123.48000336,NaN
1983-01-06,123.62999725,123.62999725,123.62999725,123.62999725,NaN
1983-01-07,123.69999695,123.69999695,123.69999695,123.69999695,NaN
1983-01-10,123.27999878,123.27999878,123.27999878,123.27999878,NaN
1983-01-11,124.04000092,124.04000092,124.04000092,124.04000092,NaN
1983-01-12,123.66999817,123.66999817,123.66999817,123.66999817,NaN
1983-01-13,122.87999725,122.87999725,122.87999725,122.87999725,NaN
1983-01-14,123.47000122,123.47000122,123.47000122,123.47000122,NaN
1983-01-17,124.41999817,124.41999817,124.41999817,124.41999817,NaN
1983-01-18,125.02999878,125.02999878,125.02999878,125.02999878,NaN
1983-01-19,125.30999756,125.30999756,125.30999756,125.30999756,NaN
1983-01-20,125.01999664,125.01999664,125.01999664,125.01999664,NaN
1983-01-21,125.58999634,125.58999634,125.58999634,125.58999634,NaN
1983-01-24,126.06999969,126.06999969,126.06999969,126.06999969,NaN
1983-01-25,125.61000061,125.61000061,125.61000061,125.61000061,NaN
1983-01-26,125.73000336,125.73000336,125.73000336,125.73000336,NaN
1983-01-27,125.94999695,125.94999695,125.94999695,125.94999695,NaN
1983-01-28,125.83999634,125.83999634,125.83999634,125.83999634,NaN
1983-01-31,125.80000305,125.80000305,125.80000305,125.80000305,NaN
1983-02-01,125.41999817,125.41999817,125.41999817,125.41999817,NaN
1983-02-02,124.80000305,124.80000305,124.80000305,124.80000305,NaN
1983-02-03,124.73999786,124.73999786,124.73999786,124.73999786,NaN
1983-02-04,124.29000092,124.29000092,124.29000092,124.29000092,NaN
1983-02-07,124.36000061,124.36000061,124.36000061,124.36000061,NaN
1983-02-08,124.61000061,124.61000061,124.61000061,124.61000061,NaN
1983-02-09,124.66999817,124.66999817,124.66999817,124.66999817,NaN
1983-02-10,124.69000244,124.69000244,124.69000244,124.69000244,NaN
1983-02-11,124.87000275,124.87000275,124.87000275,124.87000275,NaN
1983-02-14,124.75,124.75,124.75,124.75,NaN
1983-02-15,124.81999969,124.81999969,124.81999969,124.81999969,NaN
1983-02-16,125.26999664,125.26999664,125.26999664,125.26999664,NaN
1983-02-17,126.08000183,126.08000183,126.08000183,126.08000183,NaN
1983-02-18,126.12999725,126.12999725,126.12999725,126.12999725,NaN
1983-02-21,126.08000183,126.08000183,126.08000183,126.08000183,NaN
1983-02-22,125.66999817,125.66999817,125.66999817,125.66999817,NaN
1983-02-23,126.47000122,126.47000122,126.47000122,126.47000122,NaN
1983-02-24,126.61000061,126.61000061,126.61000061,126.61000061,NaN
1983-02-25,125.02999878,125.02999878,125.02999878,125.02999878,NaN
1983-03-01,125.58000183,125.58000183,125.58000183,125.58000183,NaN
1983-03-02,125.30999756,125.30999756,125.30999756,125.30999756,NaN
1983-03-03,126.09999847,126.09999847,126.09999847,126.09999847,NaN
1983-03-04,126.45999908,126.45999908,126.45999908,126.45999908,NaN
1983-03-07,127.20999908,127.20999908,127.20999908,127.20999908,NaN
1983-03-08,126.95999908,126.95999908,126.95999908,126.95999908,NaN
1983-03-09,127.94999695,127.94999695,127.94999695,127.94999695,NaN
1983-03-10,128.27999878,128.27999878,128.27999878,128.27999878,NaN
1983-03-11,128,128,128,128,NaN
1983-03-14,127.41000366,127.41000366,127.41000366,127.41000366,NaN
1983-03-15,127.79000092,127.79000092,127.79000092,127.79000092,NaN
1983-03-16,129.22000122,129.22000122,129.22000122,129.22000122,NaN
1983-03-17,131.05999756,131.05999756,131.05999756,131.05999756,NaN
1983-03-18,131.24000549,131.24000549,131.24000549,131.24000549,NaN
1983-03-21,130.92999268,130.92999268,130.92999268,130.92999268,NaN
1983-03-22,131.72999573,131.72999573,131.72999573,131.72999573,NaN
1983-03-23,131.58000183,131.58000183,131.58000183,131.58000183,NaN
1983-03-24,130.92999268,130.92999268,130.92999268,130.92999268,NaN
1983-03-25,130.41999817,130.41999817,130.41999817,130.41999817,NaN
1983-03-28,130.41000366,130.41000366,130.41000366,130.41000366,NaN
1983-03-29,130.17999268,130.17999268,130.17999268,130.17999268,NaN
1983-03-30,130.94000244,130.94000244,130.94000244,130.94000244,NaN
1983-03-31,131.33000183,131.33000183,131.33000183,131.33000183,NaN
