time,open,high,low,close,Volume
2017-11-08T12:00:00+07:00,191,191,190.5,191,166100
2017-11-08T14:00:00+07:00,191,191,190.5,190.5,118600
2017-11-08T15:00:00+07:00,191,193,191,191,1113100
2017-11-08T16:00:00+07:00,191,191.5,191,191,480000
2017-11-09T09:00:00+07:00,191.5,191.5,191.5,191.5,66900
2017-11-09T10:00:00+07:00,191.5,192.5,191.5,191.5,463200
2017-11-09T11:00:00+07:00,192,192,191,191.5,321700
2017-11-09T12:00:00+07:00,191.5,191.5,191,191.5,71000
2017-11-09T14:00:00+07:00,191,191.5,191,191.5,307200
2017-11-09T15:00:00+07:00,191.5,191.5,191,191,135600
2017-11-09T16:00:00+07:00,191.5,191.5,191,191.5,277100
2017-11-10T09:00:00+07:00,191.5,192,191.5,191.5,33500
2017-11-10T10:00:00+07:00,191.5,191.5,190,190.5,298000
2017-11-10T11:00:00+07:00,190.5,191,190.5,190.5,141200
2017-11-10T12:00:00+07:00,191,191,190.5,190.5,45400
2017-11-10T14:00:00+07:00,190.5,190.5,190,190.5,121800
2017-11-10T15:00:00+07:00,190,190.5,190,190.5,224300
2017-11-10T16:00:00+07:00,190.5,191.5,190.5,191.5,357700
2017-11-13T09:00:00+07:00,190,190.5,190,190.5,144800
2017-11-13T10:00:00+07:00,190.5,190.5,189,189.5,459500
2017-11-13T11:00:00+07:00,189.5,189.5,189,189.5,242300
2017-11-13T12:00:00+07:00,189.5,190,189,190,98500
2017-11-13T14:00:00+07:00,189.5,190,189,189,211200
2017-11-13T15:00:00+07:00,189.5,190.5,189,190,255200
2017-11-13T16:00:00+07:00,190,190.5,189.5,190.5,296400
2017-11-14T09:00:00+07:00,190.5,191,190.5,190.5,36700
2017-11-14T10:00:00+07:00,191,191,190,190.5,184100
2017-11-14T11:00:00+07:00,191,192,190.5,191.5,487500
2017-11-14T12:00:00+07:00,192,192,191.5,192,234100
2017-11-14T14:00:00+07:00,192,192,191.5,192,246600
2017-11-14T15:00:00+07:00,192,192.5,191.5,192,198400
2017-11-14T16:00:00+07:00,192.5,193,192,193,804700
2017-11-15T09:00:00+07:00,191.5,191.5,191.5,191.5,44000
2017-11-15T10:00:00+07:00,191.5,192,191,192,312900
2017-11-15T11:00:00+07:00,192,192,192,192,114000
2017-11-15T12:00:00+07:00,192,192,191.5,192,195700
2017-11-15T14:00:00+07:00,192,192,191.5,191.5,269400
2017-11-15T15:00:00+07:00,191.5,192,191,192,404400
2017-11-15T16:00:00+07:00,191.5,193,191.5,193,468400
2017-11-16T09:00:00+07:00,194,195,194,195,806400
2017-11-16T10:00:00+07:00,195,197.5,195,197,3015800
2017-11-16T11:00:00+07:00,197,197.5,196.5,197,2142200
2017-11-16T12:00:00+07:00,197,197.5,196.5,197,714700
2017-11-16T14:00:00+07:00,197,197.5,197,197,199500
2017-11-16T15:00:00+07:00,197.5,198,197,198,1977800
2017-11-16T16:00:00+07:00,197.5,197.5,196,196,1920300
2017-11-17T09:00:00+07:00,197,197,196.5,197,713000
2017-11-17T10:00:00+07:00,197,197.5,196,196,955200
2017-11-17T11:00:00+07:00,196,197,196,196.5,445800
2017-11-17T12:00:00+07:00,196.5,197,196.5,196.5,159100
2017-11-17T14:00:00+07:00,196.5,197,196.5,196.5,1621200
2017-11-17T15:00:00+07:00,197,197.5,196.5,196.5,1135200
2017-11-17T16:00:00+07:00,196.5,197,196.5,196.5,1399300
2017-11-20T09:00:00+07:00,197,197,197,197,203400
2017-11-20T10:00:00+07:00,197,197.5,196.5,196.5,586400
2017-11-20T11:00:00+07:00,196.5,197,196,196,633900
2017-11-20T12:00:00+07:00,196.5,197,196,196.5,216400
2017-11-20T14:00:00+07:00,196.5,197,196,196,198000
2017-11-20T15:00:00+07:00,196,196.5,196,196,238200
2017-11-20T16:00:00+07:00,196,196.5,195.5,195.5,695600
2017-11-21T10:00:00+07:00,196,196.5,196,196.5,449500
2017-11-21T11:00:00+07:00,196,196.5,196,196,444400
2017-11-21T12:00:00+07:00,196,196.5,196,196,50100
2017-11-21T14:00:00+07:00,196,196.5,196,196,245600
2017-11-21T15:00:00+07:00,196,196.5,195.5,196,289300
2017-11-21T16:00:00+07:00,196,196.5,196,196,857700
2017-11-22T09:00:00+07:00,196.5,197,196.5,197,90800
2017-11-22T10:00:00+07:00,196.5,199,196.5,198,1423200
2017-11-22T11:00:00+07:00,198,199.5,198,199.5,1265000
2017-11-22T12:00:00+07:00,199,200,199,199.5,505800
2017-11-22T14:00:00+07:00,199.5,199.5,199,199,696400
2017-11-22T15:00:00+07:00,199,200,198.5,199,865300
2017-11-22T16:00:00+07:00,199.5,199.5,199,199.5,785500
2017-11-23T09:00:00+07:00,199.5,199.5,199.5,199.5,74000
2017-11-23T10:00:00+07:00,199,199.5,198.5,199,326700
2017-11-23T11:00:00+07:00,199,199,197.5,197.5,919900
2017-11-23T12:00:00+07:00,198,198.5,197.5,198.5,246200
2017-11-23T14:00:00+07:00,198,199,198,199,200800
